,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Date_formatted,season,season_name,Hour,time_of_day,Month,Day,rating_label,Cummulative_Sales
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.78,1/4/2019,19:40:00,Cash,72.17,4.76,3.61,6.1,2019-01-04,1,Winter,19,Evening,1,4,Low,10103.890000000001
407,725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.74,288.58,1/4/2019,19:01:00,Cash,274.84,4.76,13.74,4.1,2019-01-04,1,Winter,19,Evening,1,4,Very low,10392.470000000001
243,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,1/5/2019,11:25:00,Cash,250.6,4.76,12.53,4.2,2019-01-05,1,Winter,11,Morning,1,5,Very low,10655.6
536,339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.7,77.66,1/5/2019,11:32:00,Credit card,73.96,4.76,3.7,5.0,2019-01-05,1,Winter,11,Morning,1,5,Very low,10733.26
945,489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.86,690.02,1/5/2019,11:51:00,Credit card,657.16,4.76,32.86,7.3,2019-01-05,1,Winter,11,Morning,1,5,Moderate,11423.28
501,573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.6,33.49,1/5/2019,12:40:00,Ewallet,31.9,4.76,1.6,9.1,2019-01-05,1,Winter,12,Morning,1,5,Very High,11456.77
0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,1/5/2019,13:08:00,Ewallet,522.83,4.76,26.14,9.1,2019-01-05,1,Winter,13,Noon,1,5,Very High,12005.74
268,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.15,297.11,1/5/2019,16:05:00,Credit card,282.96,4.76,14.15,4.4,2019-01-05,1,Winter,16,Noon,1,5,Very low,12302.85
511,209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.73,225.28,1/5/2019,17:29:00,Ewallet,214.55,4.76,10.73,6.1,2019-01-05,1,Winter,17,Evening,1,5,Low,12528.130000000001
376,843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.92,334.34,1/5/2019,19:50:00,Credit card,318.42,4.76,15.92,9.6,2019-01-05,1,Winter,19,Evening,1,5,Very High,12862.470000000001
936,433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.61,579.84,1/5/2019,19:48:00,Ewallet,552.23,4.76,27.61,7.5,2019-01-05,1,Winter,19,Evening,1,5,Moderate,13442.310000000001
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.49,1/5/2019,20:54:00,Credit card,164.28,4.76,8.21,7.9,2019-01-05,1,Winter,20,Evening,1,5,High,13614.800000000001
544,841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,1/5/2019,20:40:00,Credit card,71.2,4.76,3.56,9.2,2019-01-05,1,Winter,20,Evening,1,5,Very High,13689.560000000001
766,801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,11.41,239.59,1/5/2019,20:30:00,Credit card,228.18,4.76,11.41,9.8,2019-01-05,1,Winter,20,Evening,1,5,Very High,13929.150000000001
254,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,1/6/2019,11:23:00,Cash,471.2,4.76,23.56,8.9,2019-01-06,1,Winter,11,Morning,1,6,Very High,14423.910000000002
282,490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.77,16.11,1/6/2019,11:09:00,Cash,15.34,4.76,0.77,6.5,2019-01-06,1,Winter,11,Morning,1,6,Moderate,14440.020000000002
703,729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47,9,36.21,760.44,1/6/2019,11:18:00,Cash,724.23,4.76,36.21,9.2,2019-01-06,1,Winter,11,Morning,1,6,Very High,15200.460000000003
955,846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.9,312.89,1/6/2019,11:51:00,Cash,297.99,4.76,14.9,6.8,2019-01-06,1,Winter,11,Morning,1,6,Moderate,15513.350000000002
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46:00,Credit card,894.8,4.76,44.74,9.6,2019-01-06,1,Winter,12,Morning,1,6,Very High,16452.890000000003
365,834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.34,343.06,1/6/2019,12:12:00,Cash,326.72,4.76,16.34,9.1,2019-01-06,1,Winter,12,Morning,1,6,Very High,16795.950000000004
384,662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.24,214.94,1/6/2019,13:58:00,Ewallet,204.7,4.76,10.24,9.9,2019-01-06,1,Winter,13,Noon,1,6,Very High,17010.890000000003
869,852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.92,271.28,1/6/2019,13:35:00,Ewallet,258.36,4.76,12.92,9.3,2019-01-06,1,Winter,13,Noon,1,6,Very High,17282.170000000002
697,826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.44,261.2,1/6/2019,19:46:00,Ewallet,248.76,4.76,12.44,4.3,2019-01-06,1,Winter,19,Evening,1,6,Very low,17543.370000000003
272,126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.69,203.55,1/7/2019,11:44:00,Credit card,193.86,4.76,9.69,8.8,2019-01-07,1,Winter,11,Morning,1,7,Very High,17746.920000000002
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,1/7/2019,12:28:00,Ewallet,68.12,4.76,3.41,6.8,2019-01-07,1,Winter,12,Morning,1,7,Moderate,17818.45
355,889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.83,374.39,1/7/2019,12:20:00,Credit card,356.56,4.76,17.83,7.8,2019-01-07,1,Winter,12,Morning,1,7,High,18192.84
547,541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.43,575.98,1/7/2019,12:08:00,Credit card,548.55,4.76,27.43,6.0,2019-01-07,1,Winter,12,Morning,1,7,Low,18768.82
580,390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.08,85.74,1/7/2019,12:37:00,Cash,81.66,4.76,4.08,7.3,2019-01-07,1,Winter,12,Morning,1,7,Moderate,18854.56
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,1/7/2019,15:01:00,Ewallet,585.66,4.76,29.28,9.9,2019-01-07,1,Winter,15,Noon,1,7,Very High,19469.5
248,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.54,326.42,1/7/2019,16:11:00,Credit card,310.88,4.76,15.54,8.8,2019-01-07,1,Winter,16,Noon,1,7,Very High,19795.92
276,526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,1/7/2019,17:36:00,Cash,218.2,4.76,10.91,7.1,2019-01-07,1,Winter,17,Evening,1,7,Moderate,20025.03
275,566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.79,352.58,1/7/2019,20:52:00,Cash,335.79,4.76,16.79,6.2,2019-01-07,1,Winter,20,Evening,1,7,Low,20377.61
686,767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2,6.48,136.14,1/8/2019,11:59:00,Credit card,129.66,4.76,6.48,8.0,2019-01-08,1,Winter,11,Morning,1,8,High,20513.75
726,442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.34,175.05,1/8/2019,11:42:00,Credit card,166.71,4.76,8.34,5.9,2019-01-08,1,Winter,11,Morning,1,8,Low,20688.8
506,387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.28,152.78,1/8/2019,12:50:00,Cash,145.5,4.76,7.28,6.7,2019-01-08,1,Winter,12,Morning,1,8,Moderate,20841.579999999998
685,241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,1/8/2019,12:58:00,Credit card,98.2,4.76,4.91,6.4,2019-01-08,1,Winter,12,Morning,1,8,Low,20944.69
416,750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.08,190.6,1/8/2019,13:48:00,Credit card,181.52,4.76,9.08,8.7,2019-01-08,1,Winter,13,Noon,1,8,High,21135.289999999997
482,674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.28,194.98,1/8/2019,13:05:00,Ewallet,185.7,4.76,9.28,5.0,2019-01-08,1,Winter,13,Noon,1,8,Very low,21330.269999999997
443,192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.64,13.42,1/8/2019,14:11:00,Ewallet,12.78,4.76,0.64,9.5,2019-01-08,1,Winter,14,Noon,1,8,Very High,21343.689999999995
864,124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.94,250.71,1/8/2019,14:30:00,Cash,238.77,4.76,11.94,6.6,2019-01-08,1,Winter,14,Noon,1,8,Moderate,21594.399999999994
880,490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21,10,16.6,348.7,1/8/2019,14:25:00,Ewallet,332.1,4.76,16.6,6.0,2019-01-08,1,Winter,14,Noon,1,8,Low,21943.099999999995
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,1/8/2019,15:57:00,Ewallet,548.32,4.76,27.42,8.5,2019-01-08,1,Winter,15,Noon,1,8,High,22518.839999999997
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.28,299.85,1/8/2019,16:17:00,Credit card,285.57,4.76,14.28,5.9,2019-01-08,1,Winter,16,Noon,1,8,Low,22818.689999999995
807,257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.05,210.97,1/8/2019,17:12:00,Cash,200.92,4.76,10.05,9.0,2019-01-08,1,Winter,17,Evening,1,8,Very High,23029.659999999996
861,840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2,1.28,26.8,1/8/2019,18:06:00,Ewallet,25.52,4.76,1.28,7.8,2019-01-08,1,Winter,18,Evening,1,8,High,23056.459999999995
746,457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23,10,32.62,684.92,1/8/2019,19:07:00,Credit card,652.3,4.76,32.62,5.2,2019-01-08,1,Winter,19,Evening,1,8,Very low,23741.379999999994
848,845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88,9,32.8,688.72,1/8/2019,19:38:00,Cash,655.92,4.76,32.8,4.0,2019-01-08,1,Winter,19,Evening,1,8,Very low,24430.099999999995
868,631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.65,76.58,1/8/2019,19:09:00,Credit card,72.93,4.76,3.65,4.3,2019-01-08,1,Winter,19,Evening,1,8,Very low,24506.679999999997
267,571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,1/8/2019,20:55:00,Cash,746.0,4.76,37.3,9.5,2019-01-08,1,Winter,20,Evening,1,8,Very High,25289.979999999996
604,484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89,7,18.16,381.39,1/8/2019,20:08:00,Cash,363.23,4.76,18.16,4.5,2019-01-08,1,Winter,20,Evening,1,8,Very low,25671.369999999995
984,189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.73,708.32,1/9/2019,11:40:00,Cash,674.59,4.76,33.73,6.0,2019-01-09,1,Winter,11,Morning,1,9,Low,26379.689999999995
958,867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,1/9/2019,12:07:00,Cash,158.0,4.76,7.9,7.8,2019-01-09,1,Winter,12,Morning,1,9,High,26545.589999999997
357,554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,1/9/2019,13:45:00,Cash,954.4,4.76,47.72,5.2,2019-01-09,1,Winter,13,Noon,1,9,Very low,27547.709999999995
682,370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32,6,14.8,310.72,1/9/2019,13:46:00,Ewallet,295.92,4.76,14.8,7.1,2019-01-09,1,Winter,13,Noon,1,9,Moderate,27858.429999999997
836,288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54,5,9.64,202.34,1/9/2019,13:34:00,Ewallet,192.7,4.76,9.64,5.6,2019-01-09,1,Winter,13,Noon,1,9,Low,28060.769999999997
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.07,463.43,1/9/2019,14:20:00,Credit card,441.36,4.76,22.07,8.6,2019-01-09,1,Winter,14,Noon,1,9,High,28524.199999999997
832,343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,1/9/2019,16:34:00,Cash,94.8,4.76,4.74,4.1,2019-01-09,1,Winter,16,Noon,1,9,Very low,28623.739999999998
951,305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9,3,3.28,68.98,1/9/2019,18:43:00,Ewallet,65.7,4.76,3.28,4.7,2019-01-09,1,Winter,18,Evening,1,9,Very low,28692.719999999998
568,241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.95,586.97,1/10/2019,10:33:00,Credit card,559.02,4.76,27.95,5.5,2019-01-10,1,Winter,10,Morning,1,10,Low,29279.69
923,887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.1,611.08,1/10/2019,10:31:00,Credit card,581.98,4.76,29.1,6.6,2019-01-10,1,Winter,10,Morning,1,10,Moderate,29890.77
317,603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.7,392.65,1/10/2019,11:34:00,Cash,373.95,4.76,18.7,4.9,2019-01-10,1,Winter,11,Morning,1,10,Very low,30283.420000000002
925,226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.76,57.88,1/10/2019,11:10:00,Ewallet,55.12,4.76,2.76,9.0,2019-01-10,1,Winter,11,Morning,1,10,Very High,30341.300000000003
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,703.75,1/10/2019,14:49:00,Cash,670.24,4.76,33.51,5.1,2019-01-10,1,Winter,14,Noon,1,10,Very low,31045.050000000003
297,744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.51,493.79,1/10/2019,14:16:00,Ewallet,470.28,4.76,23.51,5.8,2019-01-10,1,Winter,14,Noon,1,10,Low,31538.840000000004
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,1/10/2019,16:42:00,Ewallet,153.86,4.76,7.69,5.1,2019-01-10,1,Winter,16,Noon,1,10,Very low,31700.390000000003
8,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,1/10/2019,17:15:00,Credit card,72.52,4.76,3.63,7.2,2019-01-10,1,Winter,17,Evening,1,10,Moderate,31776.540000000005
956,577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.72,477.13,1/10/2019,17:16:00,Cash,454.41,4.76,22.72,5.4,2019-01-10,1,Winter,17,Evening,1,10,Low,32253.670000000006
380,289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.47,345.79,1/11/2019,10:37:00,Credit card,329.32,4.76,16.47,7.5,2019-01-11,1,Winter,10,Morning,1,11,Moderate,32599.460000000006
239,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.48,94.17,1/11/2019,11:20:00,Ewallet,89.69,4.76,4.48,4.9,2019-01-11,1,Winter,11,Morning,1,11,Very low,32693.630000000005
757,406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.96,608.08,1/11/2019,11:52:00,Cash,579.12,4.76,28.96,4.5,2019-01-11,1,Winter,11,Morning,1,11,Very low,33301.71000000001
679,130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,1/11/2019,13:57:00,Ewallet,291.0,4.76,14.55,9.4,2019-01-11,1,Winter,13,Noon,1,11,Very High,33607.26000000001
225,746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.72,183.04,1/11/2019,14:29:00,Credit card,174.32,4.76,8.72,9.7,2019-01-11,1,Winter,14,Noon,1,11,Very High,33790.30000000001
240,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.22,235.68,1/11/2019,16:49:00,Credit card,224.46,4.76,11.22,5.6,2019-01-11,1,Winter,16,Noon,1,11,Low,34025.98000000001
406,732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.45,72.4,1/11/2019,19:07:00,Credit card,68.95,4.76,3.45,7.8,2019-01-11,1,Winter,19,Evening,1,11,High,34098.38000000001
723,592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.87,270.26,1/11/2019,20:10:00,Cash,257.39,4.76,12.87,7.4,2019-01-11,1,Winter,20,Evening,1,11,Moderate,34368.640000000014
623,852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.62,874.12,1/12/2019,11:25:00,Credit card,832.5,4.76,41.62,4.4,2019-01-12,1,Winter,11,Morning,1,12,Very low,35242.76000000002
863,533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.87,375.36,1/12/2019,11:42:00,Cash,357.49,4.76,17.87,7.0,2019-01-12,1,Winter,11,Morning,1,12,Moderate,35618.12000000002
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.99,419.83,1/12/2019,12:02:00,Credit card,399.84,4.76,19.99,6.5,2019-01-12,1,Winter,12,Morning,1,12,Moderate,36037.95000000002
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931.04,1/12/2019,14:50:00,Ewallet,886.7,4.76,44.34,7.3,2019-01-12,1,Winter,14,Noon,1,12,Moderate,36968.99000000002
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0,189.09,1/12/2019,15:48:00,Credit card,180.09,4.76,9.0,5.7,2019-01-12,1,Winter,15,Noon,1,12,Low,37158.080000000016
546,647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,1/12/2019,16:23:00,Ewallet,294.2,4.76,14.71,8.9,2019-01-12,1,Winter,16,Noon,1,12,Very High,37466.99000000002
699,751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,1/12/2019,16:18:00,Ewallet,975.0,4.76,48.75,8.0,2019-01-12,1,Winter,16,Noon,1,12,High,38490.74000000002
800,751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,6,6.9,144.96,1/12/2019,16:45:00,Ewallet,138.06,4.76,6.9,7.9,2019-01-12,1,Winter,16,Noon,1,12,High,38635.70000000002
418,848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.72,120.16,1/12/2019,17:13:00,Ewallet,114.44,4.76,5.72,8.3,2019-01-12,1,Winter,17,Evening,1,12,High,38755.86000000002
738,197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.62,769.1,1/12/2019,18:22:00,Ewallet,732.48,4.76,36.62,6.0,2019-01-12,1,Winter,18,Evening,1,12,Low,39524.96000000002
448,296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07,1,1.35,28.42,1/12/2019,20:07:00,Credit card,27.07,4.76,1.35,5.3,2019-01-12,1,Winter,20,Evening,1,12,Low,39553.38000000002
885,460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.95,335.01,1/13/2019,10:03:00,Cash,319.06,4.76,15.95,5.0,2019-01-13,1,Winter,10,Morning,1,13,Very low,39888.39000000002
967,195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.15,255.18,1/13/2019,12:55:00,Credit card,243.03,4.76,12.15,9.3,2019-01-13,1,Winter,12,Morning,1,13,Very High,40143.57000000002
953,784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04,4,4.21,88.37,1/13/2019,13:58:00,Cash,84.16,4.76,4.21,7.6,2019-01-13,1,Winter,13,Noon,1,13,High,40231.940000000024
